document_title,version,live_page_url,source_path,duplicates,reviewer,audited,fixed,notes
Alerts,current,https://docs.netwrix.com/docs/1secure/admin/alerts,docs/1secure/admin/alerts/alerts.md,,,,,
Alert Profiles,current,https://docs.netwrix.com/docs/1secure/admin/alerts/overview,docs/1secure/admin/alerts/overview.md,,,,,
Alerts Timeline,current,https://docs.netwrix.com/docs/1secure/admin/dashboard/alertstimeline,docs/1secure/admin/dashboard/alertstimeline.md,,,,,
1Secure Dashboard,current,https://docs.netwrix.com/docs/1secure/admin/dashboard/overview,docs/1secure/admin/dashboard/overview.md,,,,,
Active Directory Auditing,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/activedirectoryauditing,docs/1secure/admin/datacollection/activedirectoryauditing/activedirectoryauditing.md,,,,,
Configure Exchange Administrator Audit Logging Settings,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/activedirectoryauditing/auditlogging,docs/1secure/admin/datacollection/activedirectoryauditing/auditlogging.md,,,,,
Assigning Management Roles,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/activedirectoryauditing/auditlogsrole,docs/1secure/admin/datacollection/activedirectoryauditing/auditlogsrole.md,,,,,
Define Log On As a Batch Job Policy,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/activedirectoryauditing/logonasbatch,docs/1secure/admin/datacollection/activedirectoryauditing/logonasbatch.md,,,,,
Configure the Manage Auditing and Security Log Policy,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/activedirectoryauditing/manageauditingsecuritylog,docs/1secure/admin/datacollection/activedirectoryauditing/manageauditingsecuritylog.md,,,,,
Granting Permissions for 'Deleted Objects' Container,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/activedirectoryauditing/permissionsadcontainer,docs/1secure/admin/datacollection/activedirectoryauditing/permissionsadcontainer.md,,,,,
Assigning Permission To Read the Registry Key,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/activedirectoryauditing/permissionsregistrykeys,docs/1secure/admin/datacollection/activedirectoryauditing/permissionsregistrykeys.md,,,,,
Configure the Back up Files and Directories Policy,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/computer/backupfilesdirectories,docs/1secure/admin/datacollection/computer/backupfilesdirectories.md,,,,,
Computer Auditing,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/computer/overview,docs/1secure/admin/datacollection/computer/overview.md,,,,,
Configure Access this computer from the network Policy,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/logonactivity/nonadminaccount/networkaccess,docs/1secure/admin/datacollection/logonactivity/nonadminaccount/networkaccess/networkaccess.md,,,,,
Configure Non-Administrative Account to Collect Logon Activity,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/logonactivity/nonadminaccount/nondomainadmin,docs/1secure/admin/datacollection/logonactivity/nonadminaccount/nondomainadmin.md,,,,,
Data Collecting Account,current,https://docs.netwrix.com/docs/1secure/admin/datacollection/overview,docs/1secure/admin/datacollection/overview.md,,,,,
How It Works,current,https://docs.netwrix.com/docs/1secure/admin/howitworks,docs/1secure/admin/howitworks.md,,,,,
First Log In to 1Secure,current,https://docs.netwrix.com/docs/1secure/admin/login,docs/1secure/admin/login/login.md,,,,,
Single Sign On,current,https://docs.netwrix.com/docs/1secure/admin/login/sso,docs/1secure/admin/login/sso.md,,,,,
Notifications,current,https://docs.netwrix.com/docs/1secure/admin/notifications,docs/1secure/admin/notifications.md,,,,,
Add Users,current,https://docs.netwrix.com/docs/1secure/admin/organizations/addingusers,docs/1secure/admin/organizations/addingusers/addingusers.md,,,,,
Permissions by Role,current,https://docs.netwrix.com/docs/1secure/admin/organizations/addingusers/roledefinitions,docs/1secure/admin/organizations/addingusers/roledefinitions.md,,,,,
Add Organizations,current,https://docs.netwrix.com/docs/1secure/admin/organizations/addorganizations,docs/1secure/admin/organizations/addorganizations.md,,,,,
Add Sites to an Organization,current,https://docs.netwrix.com/docs/1secure/admin/organizations/addsites,docs/1secure/admin/organizations/addsites.md,,,,,
Billable Accounts,current,https://docs.netwrix.com/docs/1secure/admin/organizations/billableaccounts,docs/1secure/admin/organizations/billableaccounts.md,,,,,
Manage My Organization,current,https://docs.netwrix.com/docs/1secure/admin/organizations/managemyorganization,docs/1secure/admin/organizations/managemyorganization.md,,,,,
Manage Credentials,current,https://docs.netwrix.com/docs/1secure/admin/organizations/managingcredentials,docs/1secure/admin/organizations/managingcredentials.md,,,,,
Organization Groups,current,https://docs.netwrix.com/docs/1secure/admin/organizations/organizationgroups,docs/1secure/admin/organizations/organizationgroups.md,,,,,
Manage Organizations,current,https://docs.netwrix.com/docs/1secure/admin/organizations/overview,docs/1secure/admin/organizations/overview.md,,,,,
Add a Source and Connectors for Active Directory,current,https://docs.netwrix.com/docs/1secure/admin/organizations/sourcesandconnectors/activedirectory,docs/1secure/admin/organizations/sourcesandconnectors/activedirectory.md,,,,,
Add a Source and Connectors for Computer,current,https://docs.netwrix.com/docs/1secure/admin/organizations/sourcesandconnectors/computer,docs/1secure/admin/organizations/sourcesandconnectors/computer.md,,,,,
Add a Source and Connectors for Microsoft Entra ID,current,https://docs.netwrix.com/docs/1secure/admin/organizations/sourcesandconnectors/entraid,docs/1secure/admin/organizations/sourcesandconnectors/entraid.md,,,,,
Add a Source and Connectors for Exchange Online,current,https://docs.netwrix.com/docs/1secure/admin/organizations/sourcesandconnectors/exchangeonline,docs/1secure/admin/organizations/sourcesandconnectors/exchangeonline.md,,,,,
Sources and Connectors,current,https://docs.netwrix.com/docs/1secure/admin/organizations/sourcesandconnectors/overview,docs/1secure/admin/organizations/sourcesandconnectors/overview.md,,,,,
Add a Source and Connectors for SharePoint Online,current,https://docs.netwrix.com/docs/1secure/admin/organizations/sourcesandconnectors/sharepointonline,docs/1secure/admin/organizations/sourcesandconnectors/sharepointonline.md,,,,,
Add a Source and Connectors for SQL Server,current,https://docs.netwrix.com/docs/1secure/admin/organizations/sourcesandconnectors/sqlserver,docs/1secure/admin/organizations/sourcesandconnectors/sqlserver.md,,,,,
View Tabs and Dashboards for the Organization,current,https://docs.netwrix.com/docs/1secure/admin/organizations/viewtabsanddashboard,docs/1secure/admin/organizations/viewtabsanddashboard.md,,,,,
Overview,current,https://docs.netwrix.com/docs/1secure/admin/overview,docs/1secure/admin/overview.md,,,,,
Risk Metrics List,current,https://docs.netwrix.com/docs/1secure/admin/riskprofiles/metrics_list,docs/1secure/admin/riskprofiles/metrics_list.md,,,,,
Risk Assessment Dashboard,current,https://docs.netwrix.com/docs/1secure/admin/riskprofiles/riskassessmentdashboard,docs/1secure/admin/riskprofiles/riskassessmentdashboard.md,,,,,
Risk Metrics,current,https://docs.netwrix.com/docs/1secure/admin/riskprofiles/riskmetrics,docs/1secure/admin/riskprofiles/riskmetrics.md,,,,,
Manage Risk Profiles,current,https://docs.netwrix.com/docs/1secure/admin/riskprofiles,docs/1secure/admin/riskprofiles/riskprofiles.md,,,,,
Activity Reports,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/activity,docs/1secure/admin/searchandreports/activity.md,,,,,
Apply Filters,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/applyfilters,docs/1secure/admin/searchandreports/applyfilters.md,,,,,
Generate a Self-Audit Report,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/auditlogs,docs/1secure/admin/searchandreports/auditlogs.md,,,,,
Billable Users,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/billableusers,docs/1secure/admin/searchandreports/billableusers.md,,,,,
Custom Reports,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/customreports,docs/1secure/admin/searchandreports/customreports.md,,,,,
Export a Report or Investigation Results,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/exportreport,docs/1secure/admin/searchandreports/exportreport.md,,,,,
Overview,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/overview,docs/1secure/admin/searchandreports/overview.md,,,,,
State In Time Risks Reports,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/stateintime,docs/1secure/admin/searchandreports/stateintime.md,,,,,
Subscriptions,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/subscriptions,docs/1secure/admin/searchandreports/subscriptions.md,,,,,
System Reports,current,https://docs.netwrix.com/docs/1secure/admin/searchandreports/system,docs/1secure/admin/searchandreports/system.md,,,,,
Statuses,current,https://docs.netwrix.com/docs/1secure/admin/statuses,docs/1secure/admin/statuses.md,,,,,
Updating Netwrix Cloud Agent,current,https://docs.netwrix.com/docs/1secure/admin/updatenetwrixcloudagent,docs/1secure/admin/updatenetwrixcloudagent.md,,,,,
Configure Domain for Monitoring Active Directory,current,https://docs.netwrix.com/docs/1secure/configuration/admanual,docs/1secure/configuration/admanual/admanual.md,,,,,
Install ADSI Edit,current,https://docs.netwrix.com/docs/1secure/configuration/admanual/adsi,docs/1secure/configuration/admanual/adsi.md,,,,,
Configure Advanced Audit Policies,current,https://docs.netwrix.com/docs/1secure/configuration/admanual/advancedpolicy,docs/1secure/configuration/admanual/advancedpolicy.md,,,,,
Active Directory: automatic configuration,current,https://docs.netwrix.com/docs/1secure/configuration/admanual/auto,docs/1secure/configuration/admanual/auto.md,,,,,
Active Directory: manual configuration,current,https://docs.netwrix.com/docs/1secure/configuration/admanual/cfgmanual,docs/1secure/configuration/admanual/cfgmanual.md,,,,,
Configure Basic Domain Audit Policies,current,https://docs.netwrix.com/docs/1secure/configuration/admanual/domainauditpolicies,docs/1secure/configuration/admanual/domainauditpolicies.md,,,,,
Group Policy Management Console,current,https://docs.netwrix.com/docs/1secure/configuration/admanual/grouppolicymanagementconsole,docs/1secure/configuration/admanual/grouppolicymanagementconsole.md,,,,,
Configure Object-Level Auditing,current,https://docs.netwrix.com/docs/1secure/configuration/admanual/objectlevel,docs/1secure/configuration/admanual/objectlevel.md,,,,,
"Protocols and Ports Required for Monitoring Active Directory, Exchange, and Group Policy",current,https://docs.netwrix.com/docs/1secure/configuration/admanual/protocolsandports,docs/1secure/configuration/admanual/protocolsandports.md,,,,,
Enable Secondary Logon Service,current,https://docs.netwrix.com/docs/1secure/configuration/admanual/secondarylogonservice,docs/1secure/configuration/admanual/secondarylogonservice.md,,,,,
Configure Advanced Audit Policies,current,https://docs.netwrix.com/docs/1secure/configuration/computer/advancedpolicy,docs/1secure/configuration/computer/advancedpolicy.md,,,,,
Configure Event Log Size and Retention Settings,current,https://docs.netwrix.com/docs/1secure/configuration/computer/eventlog,docs/1secure/configuration/computer/eventlog.md,,,,,
Configure Windows Firewall Inbound Connection Rules,current,https://docs.netwrix.com/docs/1secure/configuration/computer/firewallrules,docs/1secure/configuration/computer/firewallrules.md,,,,,
Configure Local Audit Policies,current,https://docs.netwrix.com/docs/1secure/configuration/computer/localpolicy,docs/1secure/configuration/computer/localpolicy.md,,,,,
Configure Object-Level Access Auditing,current,https://docs.netwrix.com/docs/1secure/configuration/computer/objectlevel,docs/1secure/configuration/computer/objectlevel.md,,,,,
Protocols and Ports Required for Monitoring File Servers,current,https://docs.netwrix.com/docs/1secure/configuration/computer/protocolsandports,docs/1secure/configuration/computer/protocolsandports.md,,,,,
Enable Remote Registry Service,current,https://docs.netwrix.com/docs/1secure/configuration/computer/remoteregistryservice,docs/1secure/configuration/computer/remoteregistryservice.md,,,,,
Configure IT Infrastructure for Auditing and Monitoring,current,https://docs.netwrix.com/docs/1secure/configuration/configureitinfrastructure,docs/1secure/configuration/configureitinfrastructure.md,,,,,
Settings for Non-Owner Mailbox Access Audit: Using Application,current,https://docs.netwrix.com/docs/1secure/configuration/exchangeonlinenonowner,docs/1secure/configuration/exchangeonlinenonowner.md,,,,,
Group Policy,current,https://docs.netwrix.com/docs/1secure/configuration/gpmanual/overview,docs/1secure/configuration/gpmanual/overview.md,,,,,
Permissions for Group Policy Auditing,current,https://docs.netwrix.com/docs/1secure/configuration/gpmanual/permissions,docs/1secure/configuration/gpmanual/permissions.md,,,,,
Configure Advanced Audit Policies,current,https://docs.netwrix.com/docs/1secure/configuration/logonactivity/advancedaudit,docs/1secure/configuration/logonactivity/advancedaudit.md,,,,,
Configure Basic Domain Audit Policies,current,https://docs.netwrix.com/docs/1secure/configuration/logonactivity/basicauditpolicies,docs/1secure/configuration/logonactivity/basicauditpolicies.md,,,,,
Configure Windows Firewall Inbound Connection Rules,current,https://docs.netwrix.com/docs/1secure/configuration/logonactivity/firewallrules,docs/1secure/configuration/logonactivity/firewallrules.md,,,,,
Configure Infrastructure for Monitoring Logon Activity,current,https://docs.netwrix.com/docs/1secure/configuration/logonactivity/overview,docs/1secure/configuration/logonactivity/overview.md,,,,,
Configure Security Event Log Size and Retention Settings,current,https://docs.netwrix.com/docs/1secure/configuration/logonactivity/securitylogsize,docs/1secure/configuration/logonactivity/securitylogsize.md,,,,,
Configure IT Infrastructure for Auditing and Monitoring,current,https://docs.netwrix.com/docs/1secure/configuration/overview,docs/1secure/configuration/overview.md,,,,,
Configure SharePoint Online Classification App,current,https://docs.netwrix.com/docs/1secure/configuration/registerconfig/1secure-classifier-setup-guide,docs/1secure/configuration/registerconfig/1secure-classifier-setup-guide.md,,,,,
Microsoft 365 Permissions,current,https://docs.netwrix.com/docs/1secure/configuration/registerconfig/permissions,docs/1secure/configuration/registerconfig/permissions.md,,,,,
App Registration and Configuration in Microsoft Entra ID,current,https://docs.netwrix.com/docs/1secure/configuration/registerconfig,docs/1secure/configuration/registerconfig/registerconfig.md,,,,,
Configure Trace Logging,current,https://docs.netwrix.com/docs/1secure/configuration/sqlserver/configuringtracelogging,docs/1secure/configuration/sqlserver/configuringtracelogging.md,,,,,
SQL Server,current,https://docs.netwrix.com/docs/1secure/configuration/sqlserver/overview,docs/1secure/configuration/sqlserver/overview.md,,,,,
Permissions for SQL Server Auditing,current,https://docs.netwrix.com/docs/1secure/configuration/sqlserver/permissions,docs/1secure/configuration/sqlserver/permissions.md,,,,,
SQL Server Ports,current,https://docs.netwrix.com/docs/1secure/configuration/sqlserver/ports,docs/1secure/configuration/sqlserver/ports.md,,,,,
Configure Advanced Audit Policies,current,https://docs.netwrix.com/docs/1secure/configuration/windowsserver/advancedpolicy,docs/1secure/configuration/windowsserver/advancedpolicy.md,,,,,
Adjust DHCP Server Operational Log Settings,current,https://docs.netwrix.com/docs/1secure/configuration/windowsserver/dhcp,docs/1secure/configuration/windowsserver/dhcp.md,,,,,
Adjusting Event Log Size and Retention Settings,current,https://docs.netwrix.com/docs/1secure/configuration/windowsserver/eventlog,docs/1secure/configuration/windowsserver/eventlog.md,,,,,
Configure Local Audit Policies,current,https://docs.netwrix.com/docs/1secure/configuration/windowsserver/localpolicy,docs/1secure/configuration/windowsserver/localpolicy.md,,,,,
Configure Windows Server for Monitoring,current,https://docs.netwrix.com/docs/1secure/configuration/windowsserver/overview,docs/1secure/configuration/windowsserver/overview.md,,,,,
Configure Enable Persistent Time Stamp Policy,current,https://docs.netwrix.com/docs/1secure/configuration/windowsserver/persistenttimestamp,docs/1secure/configuration/windowsserver/persistenttimestamp.md,,,,,
Enable Remote Registry and Windows Management Instrumentation Services,current,https://docs.netwrix.com/docs/1secure/configuration/windowsserver/remoteregistry,docs/1secure/configuration/windowsserver/remoteregistry.md,,,,,
Configure Windows Registry Audit Settings,current,https://docs.netwrix.com/docs/1secure/configuration/windowsserver/windowsregistry,docs/1secure/configuration/windowsserver/windowsregistry.md,,,,,
Netwrix 1Secure Documentation,current,https://docs.netwrix.com/docs/1secure,docs/1secure/index.md,,,,,
Install Agent,current,https://docs.netwrix.com/docs/1secure/install/installagent,docs/1secure/install/installagent.md,,,,,
Installation,current,https://docs.netwrix.com/docs/1secure/install/overview,docs/1secure/install/overview.md,,,,,
ConnectWise,current,https://docs.netwrix.com/docs/1secure/integration/connectwise,docs/1secure/integration/connectwise.md,,,,,
Third-party Systems,current,https://docs.netwrix.com/docs/1secure/integration/overview,docs/1secure/integration/overview.md,,,,,
ServiceNow,current,https://docs.netwrix.com/docs/1secure/integration/servicenow,docs/1secure/integration/servicenow.md,,,,,
SharePoint Online,current,https://docs.netwrix.com/docs/1secure/integration/sharepointonline,docs/1secure/integration/sharepointonline.md,,,,,
Netwrix Cloud Agent Requirements,current,https://docs.netwrix.com/docs/1secure/requirements/CloudAgentRequirements,docs/1secure/requirements/CloudAgentRequirements.md,,,,,
Requirements,current,https://docs.netwrix.com/docs/1secure/requirements/overview,docs/1secure/requirements/overview.md,,,,,
Prerequisites for Data Sources,current,https://docs.netwrix.com/docs/1secure/requirements/prerequisitesfordatasources,docs/1secure/requirements/prerequisitesfordatasources.md,,,,,
Access Control,current,https://docs.netwrix.com/docs/1secure/security/accesscontrol,docs/1secure/security/accesscontrol.md,,,,,
Compliance,current,https://docs.netwrix.com/docs/1secure/security/compliance,docs/1secure/security/compliance.md,,,,,
Customer Data Privacy,current,https://docs.netwrix.com/docs/1secure/security/customerdataprivacy,docs/1secure/security/customerdataprivacy.md,,,,,
Data Security,current,https://docs.netwrix.com/docs/1secure/security/datasecurity,docs/1secure/security/datasecurity.md,,,,,
Configure IT Infrastructure for Auditing and Monitoring,current,https://docs.netwrix.com/docs/1secure/setup-and-configuration,docs/1secure/setup-and-configuration/index.md,,,,,
