document_title,version,live_page_url,source_path,duplicates,reviewer,audited,accurate,complete,notes
Computer Details,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/activedirectory/operations/computerdetails,docs/accessanalyzer/11.6/admin/action/activedirectory/operations/computerdetails.md,,,,,,
Group Details,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/activedirectory/operations/groupdetails,docs/accessanalyzer/11.6/admin/action/activedirectory/operations/groupdetails.md,,,,,,
Active Directory Action Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/activedirectory/overview,docs/accessanalyzer/11.6/admin/action/activedirectory/overview.md,,,,,,
Active Directory Action Target,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/activedirectory/target,docs/accessanalyzer/11.6/admin/action/activedirectory/target.md,,,,,,
File System Action: Action,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/filesystem/action,docs/accessanalyzer/11.6/admin/action/filesystem/action.md,,,,,,
File System Action: Applet Settings,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/filesystem/appletsettings,docs/accessanalyzer/11.6/admin/action/filesystem/appletsettings.md,,,,,,
File System Action Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/filesystem/overview,docs/accessanalyzer/11.6/admin/action/filesystem/overview.md,,,,,,
Mailbox: Folder Identification,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/mailbox/folderidentification,docs/accessanalyzer/11.6/admin/action/mailbox/folderidentification.md,,,,,,
Mailbox Action Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/mailbox/overview,docs/accessanalyzer/11.6/admin/action/mailbox/overview.md,,,,,,
Mailbox: Sampling Host,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/mailbox/samplinghost,docs/accessanalyzer/11.6/admin/action/mailbox/samplinghost.md,,,,,,
Action Modules,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/overview,docs/accessanalyzer/11.6/admin/action/overview.md,,,,,,
PowerShell Action: Execution Options,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/powershell/executionoptions,docs/accessanalyzer/11.6/admin/action/powershell/executionoptions.md,,,,,,
PowerShell Action Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/powershell/overview,docs/accessanalyzer/11.6/admin/action/powershell/overview.md,,,,,,
Public Folder: MAPI Settings,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/publicfolder/mapisettings,docs/accessanalyzer/11.6/admin/action/publicfolder/mapisettings.md,,,,,,
Registry: Operations,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/registry/operations,docs/accessanalyzer/11.6/admin/action/registry/operations.md,,,,,,
Registry Action Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/registry/overview,docs/accessanalyzer/11.6/admin/action/registry/overview.md,,,,,,
SendMail Action Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/sendmail/overview,docs/accessanalyzer/11.6/admin/action/sendmail/overview.md,,,,,,
SendMail Action: Summary,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/sendmail/summary,docs/accessanalyzer/11.6/admin/action/sendmail/summary.md,,,,,,
ServiceNow Action: Authentication,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/servicenow/authentication,docs/accessanalyzer/11.6/admin/action/servicenow/authentication.md,,,,,,
ServiceNow Action Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/servicenow/overview,docs/accessanalyzer/11.6/admin/action/servicenow/overview.md,,,,,,
Survey: Introduction,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/survey/introduction,docs/accessanalyzer/11.6/admin/action/survey/introduction.md,,,,,,
Survey Action Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/survey/overview,docs/accessanalyzer/11.6/admin/action/survey/overview.md,,,,,,
Web Request: Settings,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/action/webrequest/settings,docs/accessanalyzer/11.6/admin/action/webrequest/settings.md,,,,,,
AutoAction Analysis Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/autoaction,docs/accessanalyzer/11.6/admin/analysis/autoaction.md,,,,,,
Applies To Tab,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/businessrules/appliesto,docs/accessanalyzer/11.6/admin/analysis/businessrules/appliesto.md,,,,,,
Change Detection: Input Scope,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/changedetection/inputscope,docs/accessanalyzer/11.6/admin/analysis/changedetection/inputscope.md,,,,,,
Change Detection Analysis Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/changedetection/overview,docs/accessanalyzer/11.6/admin/analysis/changedetection/overview.md,,,,,,
Change Detection: Unique Key,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/changedetection/uniquekey,docs/accessanalyzer/11.6/admin/analysis/changedetection/uniquekey.md,,,,,,
Notification: Criteria,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/notification/criteria,docs/accessanalyzer/11.6/admin/analysis/notification/criteria.md,,,,,,
Notification: Event Log,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/notification/eventlog,docs/accessanalyzer/11.6/admin/analysis/notification/eventlog.md,,,,,,
Notification Analysis Module,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/notification/overview,docs/accessanalyzer/11.6/admin/analysis/notification/overview.md,,,,,,
Notification: Select Table,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/notification/selecttable,docs/accessanalyzer/11.6/admin/analysis/notification/selecttable.md,,,,,,
Notification: SMTP,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/notification/smtp,docs/accessanalyzer/11.6/admin/analysis/notification/smtp.md,,,,,,
Notification: Table Type,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/notification/tabletype,docs/accessanalyzer/11.6/admin/analysis/notification/tabletype.md,,,,,,
Notification: Time Window,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/notification/timewindow,docs/accessanalyzer/11.6/admin/analysis/notification/timewindow.md,,,,,,
Notification: Type,11.6,https://docs.netwrix.com/docs/accessanalyzer/11_6/admin/analysis/notification/type,docs/accessanalyzer/11.6/admin/analysis/notification/type.md,,,,,,
