document_title,version,live_page_url,source_path,duplicates,reviewer,audited,accurate,complete,notes
Cancel Request Wizard,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/accessrequests/interface/cancel,docs/accessinformationcenter/11.6/accessrequests/interface/cancel.md,,,,,,
Changes Window,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/accessrequests/interface/changes,docs/accessinformationcenter/11.6/accessrequests/interface/changes.md,,,,,,
Access Requests Interface,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/accessrequests/interface,docs/accessinformationcenter/11.6/accessrequests/interface/interface.md,,,,,,
Access Requests Overview,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/accessrequests/overview,docs/accessinformationcenter/11.6/accessrequests/overview.md,,,,,,
Commit Active Directory Changes,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/additionalconfig/commitchanges,docs/accessinformationcenter/11.6/admin/additionalconfig/commitchanges.md,,,,,,
Email Templates,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/additionalconfig/emailtemplates,docs/accessinformationcenter/11.6/admin/additionalconfig/emailtemplates.md,,,,,,
Microsoft Entra ID Single Sign-On,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/additionalconfig/entraidsso,docs/accessinformationcenter/11.6/admin/additionalconfig/entraidsso.md,,,,,,
Group Managed Service Account (gMSA) Configuration,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/additionalconfig/gmsa,docs/accessinformationcenter/11.6/admin/additionalconfig/gmsa.md,,,,,,
Activity Days Sample for Recommendations,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/additionalconfig/recommendations,docs/accessinformationcenter/11.6/admin/additionalconfig/recommendations.md,,,,,,
Timeout Parameter,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/additionalconfig/timeoutparameter,docs/accessinformationcenter/11.6/admin/additionalconfig/timeoutparameter.md,,,,,,
Active Directory Page,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/configuration/activedirectory,docs/accessinformationcenter/11.6/admin/configuration/activedirectory.md,,,,,,
Console Access Page,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/configuration/consoleaccess,docs/accessinformationcenter/11.6/admin/configuration/consoleaccess.md,,,,,,
Database Page,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/configuration/database,docs/accessinformationcenter/11.6/admin/configuration/database.md,,,,,,
License Page,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/configuration/license,docs/accessinformationcenter/11.6/admin/configuration/license.md,,,,,,
Notifications Page,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/configuration/notifications,docs/accessinformationcenter/11.6/admin/configuration/notifications.md,,,,,,
Configuration Interface Overview,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/configuration/overview,docs/accessinformationcenter/11.6/admin/configuration/overview.md,,,,,,
First Launch,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/firstlaunch,docs/accessinformationcenter/11.6/admin/firstlaunch.md,,,,,,
Getting Started,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/gettingstarted,docs/accessinformationcenter/11.6/admin/gettingstarted.md,,,,,,
URL & Login,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/login,docs/accessinformationcenter/11.6/admin/login/login.md,,,,,,
User Landing Page,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/login/userlanding,docs/accessinformationcenter/11.6/admin/login/userlanding.md,,,,,,
Navigation,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/navigate,docs/accessinformationcenter/11.6/admin/navigate/navigate.md,,,,,,
Administrator Overview,11.6,https://docs.netwrix.com/docs/accessinformationcenter/11_6/admin/overview,docs/accessinformationcenter/11.6/admin/overview.md,,,,,,
