document_title,version,live_page_url,source_path,duplicates,reviewer,audited,accurate,complete,notes
Access Reviews,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews,docs/auditor/10.6/accessreviews/accessreviews.md,,,,,,
Console Access Page,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/configuration/consoleaccess,docs/auditor/10.6/accessreviews/admin/configuration/consoleaccess.md,,,,,,
Notifications Page,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/configuration/notifications,docs/auditor/10.6/accessreviews/admin/configuration/notifications.md,,,,,,
Configuration Interface Overview,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/configuration/overview,docs/auditor/10.6/accessreviews/admin/configuration/overview.md,,,,,,
First Launch,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/firstlaunch,docs/auditor/10.6/accessreviews/admin/firstlaunch.md,,,,,,
URL & Login,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/login,docs/auditor/10.6/accessreviews/admin/login.md,,,,,,
Data Grid Features,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/navigate/datagrid,docs/auditor/10.6/accessreviews/admin/navigate/datagrid.md,,,,,,
Edit Notes Window,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/navigate/editnotes,docs/auditor/10.6/accessreviews/admin/navigate/editnotes.md,,,,,,
Navigation,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/navigate,docs/auditor/10.6/accessreviews/admin/navigate/navigate.md,,,,,,
Update Credential Passwords,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/troubleshooting/credentialpasswords,docs/auditor/10.6/accessreviews/admin/troubleshooting/credentialpasswords.md,,,,,,
Troubleshooting,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/admin/troubleshooting/overview,docs/auditor/10.6/accessreviews/admin/troubleshooting/overview.md,,,,,,
Approval Process,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/approvalprocess,docs/auditor/10.6/accessreviews/entitlementreviews/approvalprocess/approvalprocess.md,,,,,,
Remove Changes Window,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/approvalprocess/removechanges,docs/auditor/10.6/accessreviews/entitlementreviews/approvalprocess/removechanges.md,,,,,,
Create Review Wizard,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/create,docs/auditor/10.6/accessreviews/entitlementreviews/create/create.md,,,,,,
Review Instances,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/create/reviewinstances,docs/auditor/10.6/accessreviews/entitlementreviews/create/reviewinstances.md,,,,,,
Delete Review Window,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/interface/deletereview,docs/auditor/10.6/accessreviews/entitlementreviews/interface/deletereview.md,,,,,,
Entitlement Reviews Interface,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/interface,docs/auditor/10.6/accessreviews/entitlementreviews/interface/interface.md,,,,,,
Rename Review Window,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/interface/renamereview,docs/auditor/10.6/accessreviews/entitlementreviews/interface/renamereview.md,,,,,,
Selected Resources Window,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/interface/selectedresources,docs/auditor/10.6/accessreviews/entitlementreviews/interface/selectedresources.md,,,,,,
Send Reminders Window,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/interface/sendreminders,docs/auditor/10.6/accessreviews/entitlementreviews/interface/sendreminders.md,,,,,,
Stop Review Window,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/interface/stopreview,docs/auditor/10.6/accessreviews/entitlementreviews/interface/stopreview.md,,,,,,
View Responses Window,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/interface/viewresponses,docs/auditor/10.6/accessreviews/entitlementreviews/interface/viewresponses.md,,,,,,
Reviews Overview,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/entitlementreviews/overview,docs/auditor/10.6/accessreviews/entitlementreviews/overview.md,,,,,,
Select Data Sources,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/installation/accessreviewsconfiguration,docs/auditor/10.6/accessreviews/installation/accessreviewsconfiguration.md,,,,,,
Install,10.6,https://docs.netwrix.com/docs/auditor/10_6/accessreviews/installation/install,docs/auditor/10.6/accessreviews/installation/install.md,,,,,,
