document_title,version,live_page_url,source_path,duplicates,reviewer,audited,fixed,notes
Advanced Configuration,current,https://docs.netwrix.com/docs/changetracker/admin/agentlessscript/advancedconfiguration,docs/changetracker/admin/agentlessscript/advancedconfiguration/advancedconfiguration.md,,,,,
Sample Scripts:,current,https://docs.netwrix.com/docs/changetracker/admin/agentlessscript/advancedconfiguration/advancedconfigurationsamplescripts,docs/changetracker/admin/agentlessscript/advancedconfiguration/advancedconfigurationsamplescripts.md,,,,,
Predefined Script Variables,current,https://docs.netwrix.com/docs/changetracker/admin/agentlessscript/predefinedscriptvariables,docs/changetracker/admin/agentlessscript/predefinedscriptvariables/predefinedscriptvariables.md,,,,,
Notes,current,https://docs.netwrix.com/docs/changetracker/admin/agentlessscript/predefinedscriptvariables/predefinedscriptvariablesnotes,docs/changetracker/admin/agentlessscript/predefinedscriptvariables/predefinedscriptvariablesnotes.md,,,,,
Dashboard Tab,current,https://docs.netwrix.com/docs/changetracker/admin/dashboardoverview,docs/changetracker/admin/dashboardoverview.md,,,,,
Events Tab,current,https://docs.netwrix.com/docs/changetracker/admin/events,docs/changetracker/admin/events/events.md,,,,,
Export Reports,current,https://docs.netwrix.com/docs/changetracker/admin/events/eventsexportreports,docs/changetracker/admin/events/eventsexportreports.md,,,,,
Using the Filter Panel,current,https://docs.netwrix.com/docs/changetracker/admin/events/eventsfilters,docs/changetracker/admin/events/eventsfilters.md,,,,,
Registry Inclusion/Exclusion Match Rules,current,https://docs.netwrix.com/docs/changetracker/admin/matchrulesoverview/registryrules,docs/changetracker/admin/matchrulesoverview/registryrules.md,,,,,
Planned Change Wizard,current,https://docs.netwrix.com/docs/changetracker/admin/plannedchanges/plannedchange,docs/changetracker/admin/plannedchanges/plannedchange.md,,,,,
Planned Change Operation – Closed-Loop Intelligent Planned Change Control,current,https://docs.netwrix.com/docs/changetracker/admin/plannedchanges/plannedchangeoperationclosed,docs/changetracker/admin/plannedchanges/plannedchangeoperationclosed.md,,,,,
Planned Changes Tab,current,https://docs.netwrix.com/docs/changetracker/admin/plannedchanges,docs/changetracker/admin/plannedchanges/plannedchanges.md,,,,,
Export Reports,current,https://docs.netwrix.com/docs/changetracker/admin/reportstab/eventsexportreports,docs/changetracker/admin/reportstab/eventsexportreports.md,,,,,
Quick Export,current,https://docs.netwrix.com/docs/changetracker/admin/reportstab/quickexport,docs/changetracker/admin/reportstab/quickexport.md,,,,,
Report Options,current,https://docs.netwrix.com/docs/changetracker/admin/reportstab/reportsquerysettingstab,docs/changetracker/admin/reportstab/reportsquerysettingstab.md,,,,,
Agent Configuration,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/agentsanddevices/agentconfiguration,docs/changetracker/admin/settingstab/agentsanddevices/agentconfiguration.md,,,,,
Notification Messages Explained,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/alerts/notificationmessages,docs/changetracker/admin/settingstab/alerts/notificationmessages.md,,,,,
Device Groups,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/devicegroups,docs/changetracker/admin/settingstab/devicegroups.md,,,,,
License,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/license,docs/changetracker/admin/settingstab/license.md,,,,,
Create/Edit a Configuration Monitoring Policy,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/policytemplates/createeditmonitoringpolicy,docs/changetracker/admin/settingstab/policytemplates/createeditmonitoringpolicy.md,,,,,
Policy Templates: File Contents,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/policytemplates/filescontents,docs/changetracker/admin/settingstab/policytemplates/filescontents.md,,,,,
Policy Templates: FIM File Integrity,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/policytemplates/fimfiles,docs/changetracker/admin/settingstab/policytemplates/fimfiles.md,,,,,
Policy Templates: Installed Software and Updates,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/policytemplates/installedsoftware,docs/changetracker/admin/settingstab/policytemplates/installedsoftware.md,,,,,
Policy Templates: Local User/Domain Controller Account Tracker,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/policytemplates/localuserordctracker,docs/changetracker/admin/settingstab/policytemplates/localuserordctracker.md,,,,,
Policy Templates: Network Port Tracker,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/policytemplates/networkporttracker,docs/changetracker/admin/settingstab/policytemplates/networkporttracker.md,,,,,
Network Scan,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/policytemplates/networkscan,docs/changetracker/admin/settingstab/policytemplates/networkscan.md,,,,,
Policy Templates: Registry,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/policytemplates/registry,docs/changetracker/admin/settingstab/policytemplates/registry.md,,,,,
System Performance,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/systemperformance,docs/changetracker/admin/settingstab/systemperformance.md,,,,,
System Settings Glossary,current,https://docs.netwrix.com/docs/changetracker/admin/settingstab/systemsettings/systemsettingsglossary,docs/changetracker/admin/settingstab/systemsettings/systemsettingsglossary.md,,,,,
Agent Performance Metrics,current,https://docs.netwrix.com/docs/changetracker/agents/agentperformancemetrics,docs/changetracker/agents/agentperformancemetrics.md,,,,,
Agents,current,https://docs.netwrix.com/docs/changetracker/api/agents,docs/changetracker/api/agents.md,,,,,
Authentication,current,https://docs.netwrix.com/docs/changetracker/api/authentication,docs/changetracker/api/authentication.md,,,,,
Credentials,current,https://docs.netwrix.com/docs/changetracker/api/credentials,docs/changetracker/api/credentials.md,,,,,
Register Agents,current,https://docs.netwrix.com/docs/changetracker/api/register-agents,docs/changetracker/api/register-agents.md,,,,,
Detail Tab,current,https://docs.netwrix.com/docs/changetracker/baseline/detailtab,docs/changetracker/baseline/detailtab.md,,,,,
