document_title,version,live_page_url,source_path,also_covers,reviewer,audited,fixed,corrections,notes
Netwrix Customer Portal & Training Guide,current,https://docs.netwrix.com/docs/customer,docs/customer/index.md,,,,,,
Netwrix Customer Portal Access,current,https://docs.netwrix.com/docs/customer/portal,docs/customer/portal/index.md,,,,,,
Netwrix Customer Training Courses,current,https://docs.netwrix.com/docs/customer/training,docs/customer/training/index.md,,,,,,
Learn About Netwrix 1Secure Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/1secure,docs/customer/training/learn-about/1secure.md,,,,,,
Learn About Netwrix Access Analyzer Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/access-analyzer,docs/customer/training/learn-about/access-analyzer.md,,,,,,
Learn About Netwrix Activity Monitor Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/activity-monitor,docs/customer/training/learn-about/activity-monitor.md,,,,,,
Learn About Netwrix Auditor Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/auditor,docs/customer/training/learn-about/auditor.md,,,,,,
Learn About Netwrix Change Tracker Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/change-tracker,docs/customer/training/learn-about/change-tracker.md,,,,,,
Learn About Netwrix Data Classification Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/data-classification,docs/customer/training/learn-about/data-classification.md,,,,,,
Learn About Netwrix Directory Manager Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/directory-manager,docs/customer/training/learn-about/directory-manager.md,,,,,,
Learn About Netwrix Endpoint Protector Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/endpoint-protector,docs/customer/training/learn-about/endpoint-protector.md,,,,,,
Learn About Netwrix Identity Manager Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/identity-manager,docs/customer/training/learn-about/identity-manager.md,,,,,,
Learn About Netwrix Identity Recovery Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/identity-recovery,docs/customer/training/learn-about/identity-recovery.md,,,,,,
Learn About Product Learning Paths,current,https://docs.netwrix.com/docs/customer/training/learn-about,docs/customer/training/learn-about/index.md,,,,,,
Learn About Netwrix Password Policy Enforcer Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/password-policy-enforcer,docs/customer/training/learn-about/password-policy-enforcer.md,,,,,,
Learn About Netwrix Password Secure Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/password-secure,docs/customer/training/learn-about/password-secure.md,,,,,,
Learn About Netwrix Platform Governance for NetSuite Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/platform-governance-for-netsuite,docs/customer/training/learn-about/platform-governance-for-netsuite.md,,,,,,
Learn About Netwrix Platform Governance for Salesforce Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/platform-governance-for-salesforce,docs/customer/training/learn-about/platform-governance-for-salesforce.md,,,,,,
Learn About Netwrix PolicyPak Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/policypak,docs/customer/training/learn-about/policypak.md,,,,,,
Learn About Netwrix Privilege Secure Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/privilege-secure,docs/customer/training/learn-about/privilege-secure.md,,,,,,
Learn About Netwrix Threat Manager Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/threat-manager,docs/customer/training/learn-about/threat-manager.md,,,,,,
Learn About Netwrix Threat Prevention Learning Path,current,https://docs.netwrix.com/docs/customer/training/learn-about/threat-prevention,docs/customer/training/learn-about/threat-prevention.md,,,,,,
Netwrix 1Secure Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/1secure,docs/customer/training/product/1secure.md,,,,,,
Netwrix Access Analyzer – Active Directory Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/access-analyzer/active-directory,docs/customer/training/product/access-analyzer/active-directory.md,,,,,,
Netwrix Activity Monitor Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/access-analyzer/activity-monitor,docs/customer/training/product/access-analyzer/activity-monitor.md,,,,,,
Netwrix Access Analyzer – Core Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/access-analyzer/core,docs/customer/training/product/access-analyzer/core.md,,,,,,
Netwrix Access Analyzer – Exchange Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/access-analyzer/exchange,docs/customer/training/product/access-analyzer/exchange.md,,,,,,
Netwrix Access Analyzer – File System Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/access-analyzer/file-system,docs/customer/training/product/access-analyzer/file-system.md,,,,,,
Netwrix Access Analyzer Learning Paths,current,https://docs.netwrix.com/docs/customer/training/product/access-analyzer,docs/customer/training/product/access-analyzer/index.md,,,,,,
Netwrix Access Analyzer – SharePoint Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/access-analyzer/sharepoint,docs/customer/training/product/access-analyzer/sharepoint.md,,,,,,
Netwrix Access Analyzer – Windows  Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/access-analyzer/windows,docs/customer/training/product/access-analyzer/windows.md,,,,,,
Netwrix Auditor Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/auditor,docs/customer/training/product/auditor.md,,,,,,
Netwrix Change Tracker Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/change-tracker,docs/customer/training/product/change-tracker.md,,,,,,
Netwrix Data Classification Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/data-classification,docs/customer/training/product/data-classification.md,,,,,,
Netwrix Directory Manager Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/directory-manager,docs/customer/training/product/directory-manager.md,,,,,,
Netwrix Endpoint Protector Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/endpoint-protector,docs/customer/training/product/endpoint-protector.md,,,,,,
Netwrix Identity Manager Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/identity-manager,docs/customer/training/product/identity-manager.md,,,,,,
Netwrix Identity Recovery Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/identity-recovery,docs/customer/training/product/identity-recovery.md,,,,,,
Product Learning Paths,current,https://docs.netwrix.com/docs/customer/training/product,docs/customer/training/product/index.md,,,,,,
Netwrix Password Policy Enforcer Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/password-policy-enforcer,docs/customer/training/product/password-policy-enforcer.md,,,,,,
Netwrix Password Reset Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/password-reset,docs/customer/training/product/password-reset.md,,,,,,
Netwrix Password Secure Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/password-secure,docs/customer/training/product/password-secure.md,,,,,,
Netwrix Platform Governance for NetSuite Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/platform-governance-for-netsuite/core,docs/customer/training/product/platform-governance-for-netsuite/core.md,,,,,,
Netwrix Platform Governance for NetSuite Learning Paths,current,https://docs.netwrix.com/docs/customer/training/product/platform-governance-for-netsuite,docs/customer/training/product/platform-governance-for-netsuite/index.md,,,,,,
Netwrix Platform Governance for NetSuite – Onboard New NetSuite Admins Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/platform-governance-for-netsuite/new-admin,docs/customer/training/product/platform-governance-for-netsuite/new-admin.md,,,,,,
Netwrix Platform Governance for Salesforce Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/platform-governance-for-salesforce,docs/customer/training/product/platform-governance-for-salesforce.md,,,,,,
Netwrix PolicyPak Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/policypak,docs/customer/training/product/policypak.md,,,,,,
Netwrix Privilege Secure Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/privilege-secure,docs/customer/training/product/privilege-secure.md,,,,,,
Netwrix Threat Manager Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/threat-manager,docs/customer/training/product/threat-manager.md,,,,,,
Netwrix Threat Prevention Learning Path,current,https://docs.netwrix.com/docs/customer/training/product/threat-prevention,docs/customer/training/product/threat-prevention.md,,,,,,
