document_title,version,live_page_url,source_path,also_covers,reviewer,audited,fixed,corrections,notes
Content Configuration Overview,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview,docs/dataclassification/5.6.2/contentconfigurationoverview/contentconfigurationoverview.md,,,,,,
Add a Content Source,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/adding_source,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/adding_source.md,,,,,,
Box,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/box,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/box.md,,,,,,
Database Configuration Wizard,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/database/database_config_wizard,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/database/database_config_wizard.md,,,,,,
Add Database Source,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/database,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/database/database.md,,,,,,
Dropbox,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/dropbox_source,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/dropbox_source.md,,,,,,
Exchange Mailbox,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/exchange_mailbox,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/exchange_mailbox.md,,,,,,
Exchange Server,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/exchange_server,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/exchange_server.md,,,,,,
File System,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/file_system,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/file_system.md,,,,,,
Google Drive Source,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/google_drive,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/google_drive.md,,,,,,
Outlook Mail Archive,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/outlook_mail_archive,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/outlook_mail_archive.md,,,,,,
SharePoint Online,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/sharepoint_online,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/sharepoint_online.md,,,,,,
SharePoint,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/addingsource/sharepoint,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/addingsource/sharepoint.md,,,,,,
Narrow Data Collection Scope,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/collection_inclusions,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/collection_inclusions.md,,,,,,
Dynamic Source Groups — Exchange,5.6.2,https://docs.netwrix.com/docs/dataclassification/5_6_2/contentconfigurationoverview/sourcesintro/sourcegroups/dynamic_source_groups_-_exchange,docs/dataclassification/5.6.2/contentconfigurationoverview/sourcesintro/sourcegroups/dynamic_source_groups_-_exchange.md,,,,,,
