document_title,version,live_page_url,source_path,duplicates,reviewer,audited,accurate,complete,notes
Netwrix Identity Manager 7.0,7.0,https://docs.netwrix.com/docs/identitymanager/7_0,docs/identitymanager/7.0/index.md,,,,,,
Install the Agents,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/installation-guide/production-ready/agent,docs/identitymanager/7.0/installation-guide/production-ready/agent.md,,,,,,
Install the Database,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/installation-guide/production-ready/database,docs/identitymanager/7.0/installation-guide/production-ready/database.md,,,,,,
Agent,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/installation-guide/requirements/agent-requirements,docs/identitymanager/7.0/installation-guide/requirements/agent-requirements.md,,,,,,
Database,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/installation-guide/requirements/database-requirements,docs/identitymanager/7.0/installation-guide/requirements/database-requirements.md,,,,,,
Integration Device,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/installation-guide/requirements/device-requirements,docs/identitymanager/7.0/installation-guide/requirements/device-requirements.md,,,,,,
Server,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/installation-guide/requirements/server-requirements,docs/identitymanager/7.0/installation-guide/requirements/server-requirements.md,,,,,,
Reverse Proxy,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/installation-guide/reverse-proxy,docs/identitymanager/7.0/installation-guide/reverse-proxy.md,,,,,,
Connectors,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/api/server/connectors,docs/identitymanager/7.0/integration-guide/api/server/connectors.md,,,,,,
Job,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/api/server/job,docs/identitymanager/7.0/integration-guide/api/server/job.md,,,,,,
Metadata,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/api/server/metadata,docs/identitymanager/7.0/integration-guide/api/server/metadata.md,,,,,,
Google Workspace,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/googleworkspace,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/googleworkspace.md,,,,,,
NIM Profile,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/nimprofile,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/nimprofile.md,,,,,,
OData,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/odata,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/odata.md,,,,,,
Okta,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/okta,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/okta.md,,,,,,
OpenLDAP,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/openldap,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/openldap.md,,,,,,
PowerShellProv,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/powershellprov,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/powershellprov.md,,,,,,
PowerShellSync,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/powershellsync,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/powershellsync.md,,,,,,
RACF,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/racf,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/racf.md,,,,,,
Robot Framework,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/robotframework,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/robotframework.md,,,,,,
SAP ERP 6.0 and SAP S4/HANA,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/saperp6,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/saperp6.md,,,,,,
SAP Netweaver,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/sapnetweaver,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/sapnetweaver.md,,,,,,
SCIM,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/scim,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/scim.md,,,,,,
ServiceNow,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/servicenowentitymanagement,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/servicenowentitymanagement.md,,,,,,
ServiceNowTicket,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/servicenowticket,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/servicenowticket.md,,,,,,
SharePoint,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/sharepoint,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/sharepoint.md,,,,,,
Sql,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/sql,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/sql.md,,,,,,
Sql Server Entitlements,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/sqlserverentitlements,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/sqlserverentitlements.md,,,,,,
Top Secret,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/topsecret,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/topsecret.md,,,,,,
Workday,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/connectors/references-connectors/workday,docs/identitymanager/7.0/integration-guide/connectors/references-connectors/workday.md,,,,,,
Usercube-Deploy Configuration,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/executables/references/deploy-configuration,docs/identitymanager/7.0/integration-guide/executables/references/deploy-configuration.md,,,,,,
Access Certification,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/governance/accesscertification,docs/identitymanager/7.0/integration-guide/governance/accesscertification.md,,,,,,
Application Settings,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/network-configuration/agent-configuration/appsettings,docs/identitymanager/7.0/integration-guide/network-configuration/agent-configuration/appsettings.md,,,,,,
Proxy Server,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/network-configuration/proxy,docs/identitymanager/7.0/integration-guide/network-configuration/proxy.md,,,,,,
C# utility functions,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/toolkit/expressions/csharp-utility-functions,docs/identitymanager/7.0/integration-guide/toolkit/expressions/csharp-utility-functions.md,,,,,,
ProfileRuleContext,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/toolkit/xml-configuration/access-control/profilerulecontext,docs/identitymanager/7.0/integration-guide/toolkit/xml-configuration/access-control/profilerulecontext.md,,,,,,
CreateUpdateDeleteMenus,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/toolkit/xml-configuration/configuration/scaffoldings/entitytypes/workflows/createupdatedeletemenus,docs/identitymanager/7.0/integration-guide/toolkit/xml-configuration/configuration/scaffoldings/entitytypes/workflows/createupdatedeletemenus.md,,,,,,
UpdateResourcesMenus,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/toolkit/xml-configuration/configuration/scaffoldings/entitytypes/workflows/updateresourcesmenus,docs/identitymanager/7.0/integration-guide/toolkit/xml-configuration/configuration/scaffoldings/entitytypes/workflows/updateresourcesmenus.md,,,,,,
OptimizeDisplayTable,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/toolkit/xml-configuration/configuration/scaffoldings/optimizations/optimizedisplaytable,docs/identitymanager/7.0/integration-guide/toolkit/xml-configuration/configuration/scaffoldings/optimizations/optimizedisplaytable.md,,,,,,
WorkforceModule,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/toolkit/xml-configuration/configuration/scaffoldings/workforce/workforcemodule,docs/identitymanager/7.0/integration-guide/toolkit/xml-configuration/configuration/scaffoldings/workforce/workforcemodule.md,,,,,,
MiningRule,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/toolkit/xml-configuration/provisioning/miningrule,docs/identitymanager/7.0/integration-guide/toolkit/xml-configuration/provisioning/miningrule.md,,,,,,
DisplayEntityType,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/toolkit/xml-configuration/user-interface/displayentitytype,docs/identitymanager/7.0/integration-guide/toolkit/xml-configuration/user-interface/displayentitytype.md,,,,,,
MenuItem,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/integration-guide/toolkit/xml-configuration/user-interface/menuitem,docs/identitymanager/7.0/integration-guide/toolkit/xml-configuration/user-interface/menuitem.md,,,,,,
Schedule a Certification Campaign,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/user-guide/administrate/access-certification/certification-campaign-scheduling,docs/identitymanager/7.0/user-guide/administrate/access-certification/certification-campaign-scheduling.md,,,,,,
Configure the Agent's Settings,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/user-guide/deploy/production-agent-installation/settings-files,docs/identitymanager/7.0/user-guide/deploy/production-agent-installation/settings-files.md,,,,,,
Create an HR Connector,7.0,https://docs.netwrix.com/docs/identitymanager/7_0/user-guide/optimize/hr-connector-creation,docs/identitymanager/7.0/user-guide/optimize/hr-connector-creation.md,,,,,,
Netwrix Identity Manager 7.1,current,https://docs.netwrix.com/docs/identitymanager/current,docs/identitymanager/current/index.md,,,,,,
Installation Guide,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide,docs/identitymanager/current/installation-guide/index.md,7.0,,,,,
Overview,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/overview,docs/identitymanager/current/installation-guide/overview.md,7.0,,,,,
Install the Agents,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/production-ready/agent,docs/identitymanager/current/installation-guide/production-ready/agent.md,,,,,,
Install the Database,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/production-ready/database,docs/identitymanager/current/installation-guide/production-ready/database.md,,,,,,
Send Notifications,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/production-ready/email-server,docs/identitymanager/current/installation-guide/production-ready/email-server.md,7.0,,,,,
Production-Ready Installation Guide,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/production-ready,docs/identitymanager/current/installation-guide/production-ready/index.md,7.0,,,,,
Install the Server,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/production-ready/server,docs/identitymanager/current/installation-guide/production-ready/server.md,7.0,,,,,
Create a Working Directory,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/production-ready/working-directory,docs/identitymanager/current/installation-guide/production-ready/working-directory.md,7.0,,,,,
Quick Start Guide,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/quick-start,docs/identitymanager/current/installation-guide/quick-start.md,7.0,,,,,
Agent,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/requirements/agent-requirements,docs/identitymanager/current/installation-guide/requirements/agent-requirements.md,,,,,,
Database,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/requirements/database-requirements,docs/identitymanager/current/installation-guide/requirements/database-requirements.md,,,,,,
Integration Device,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/requirements/device-requirements,docs/identitymanager/current/installation-guide/requirements/device-requirements.md,,,,,,
Prerequisites,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/requirements,docs/identitymanager/current/installation-guide/requirements/index.md,,,,,,
Server,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/requirements/server-requirements,docs/identitymanager/current/installation-guide/requirements/server-requirements.md,,,,,,
Reverse Proxy,current,https://docs.netwrix.com/docs/identitymanager/current/installation-guide/reverse-proxy,docs/identitymanager/current/installation-guide/reverse-proxy.md,,,,,,
Authentication,current,https://docs.netwrix.com/docs/identitymanager/current/integration-guide/api/authentication,docs/identitymanager/current/integration-guide/api/authentication.md,7.0,,,,,
API,current,https://docs.netwrix.com/docs/identitymanager/current/integration-guide/api,docs/identitymanager/current/integration-guide/api/index.md,7.0,,,,,
Pagination,current,https://docs.netwrix.com/docs/identitymanager/current/integration-guide/api/pagination,docs/identitymanager/current/integration-guide/api/pagination.md,7.0,,,,,
Request APIs via Postman,current,https://docs.netwrix.com/docs/identitymanager/current/integration-guide/api/request-postman,docs/identitymanager/current/integration-guide/api/request-postman.md,7.0,,,,,
AccessCertification,current,https://docs.netwrix.com/docs/identitymanager/current/integration-guide/api/server/accesscertification,docs/identitymanager/current/integration-guide/api/server/accesscertification.md,7.0,,,,,
AccessControl,current,https://docs.netwrix.com/docs/identitymanager/current/integration-guide/api/server/accesscontrol,docs/identitymanager/current/integration-guide/api/server/accesscontrol.md,7.0,,,,,
