document_title,version,live_page_url,source_path,also_covers,reviewer,audited,fixed,corrections,notes
Netwrix Access Analyzer Professional Services Engineer,current,https://docs.netwrix.com/docs/partner/implementation/access-analyzer,docs/partner/implementation/access-analyzer.md,,,,,,
Netwrix Auditor Professional Services Engineer,current,https://docs.netwrix.com/docs/partner/implementation/auditor,docs/partner/implementation/auditor.md,,,,,,
Netwrix Data Classification Professional Services Engineer,current,https://docs.netwrix.com/docs/partner/implementation/data-classification,docs/partner/implementation/data-classification.md,,,,,,
Netwrix Platform Governance for NetSuite Professional Services Engineer,current,https://docs.netwrix.com/docs/partner/implementation/platform-governance-for-netsuite,docs/partner/implementation/platform-governance-for-netsuite.md,,,,,,
Netwrix Platform Governance for Salesforce  Professional Services Engineer,current,https://docs.netwrix.com/docs/partner/implementation/platform-governance-for-salesforce,docs/partner/implementation/platform-governance-for-salesforce.md,,,,,,
Netwrix Privileged Secure Professional Services Engineer,current,https://docs.netwrix.com/docs/partner/implementation/privilege-secure,docs/partner/implementation/privilege-secure.md,,,,,,
Netwrix Partner Certification Training Courses,current,https://docs.netwrix.com/docs/partner,docs/partner/index.md,,,,,,
Netwrix Auditor & Data Classification MSP Engineer,current,https://docs.netwrix.com/docs/partner/msp/auditor,docs/partner/msp/auditor.md,,,,,,
MSP Engineer Certification Learning Paths,current,https://docs.netwrix.com/docs/partner/msp,docs/partner/msp/index.md,,,,,,
Onboarding Kits,current,https://docs.netwrix.com/docs/partner/onboarding,docs/partner/onboarding.md,,,,,,
Netwrix 1Secure Pro Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/1secure,docs/partner/presales/1secure.md,,,,,,
Netwrix Access Analyzer Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/access-analyzer,docs/partner/presales/access-analyzer.md,,,,,,
Netwrix Auditor Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/auditor,docs/partner/presales/auditor.md,,,,,,
Netwrix Change Tracker Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/change-tracker,docs/partner/presales/change-tracker.md,,,,,,
Netwrix Data Classification Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/data-classification,docs/partner/presales/data-classification.md,,,,,,
Netwrix Directory Manager Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/directory-manager,docs/partner/presales/directory-manager.md,,,,,,
Netwrix Endpoint Protector Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/endpoint-protector,docs/partner/presales/endpoint-protector.md,,,,,,
Netwrix Identity Manager Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/identity-manager,docs/partner/presales/identity-manager.md,,,,,,
Netwrix Identity Recovery Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/identity-recovery,docs/partner/presales/identity-recovery.md,,,,,,
Netwrix Identity Threat Detection & Response Solution Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/identity-threat-detection-and-response,docs/partner/presales/identity-threat-detection-and-response.md,,,,,,
Netwrix Password Secure Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/password-secure,docs/partner/presales/password-secure.md,,,,,,
Netwrix PingCastle Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/pingcastle,docs/partner/presales/pingcastle.md,,,,,,
Netwrix Platform Governance for NetSuite Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/platform-governance-for-netsuite,docs/partner/presales/platform-governance-for-netsuite.md,,,,,,
Netwrix Platform Governance for Salesforce Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/platform-governance-for-salesforce,docs/partner/presales/platform-governance-for-salesforce.md,,,,,,
Netwrix PolicyPak Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/policypak,docs/partner/presales/policypak.md,,,,,,
Netwrix Privileged Secure Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/privilege-secure,docs/partner/presales/privilege-secure.md,,,,,,
Netwrix Threat Manager Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/threat-manager,docs/partner/presales/threat-manager.md,,,,,,
Netwrix Threat Prevention Presales Engineer,current,https://docs.netwrix.com/docs/partner/presales/threat-prevention,docs/partner/presales/threat-prevention.md,,,,,,
Netwrix Change Tracker Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/change-tracker,docs/partner/sales/change-tracker.md,,,,,,
Netwrix Data Security Posture Management Solution Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/data-security-posture-management,docs/partner/sales/data-security-posture-management.md,,,,,,
Netwrix Endpoint Protector Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/endpoint-protector,docs/partner/sales/endpoint-protector.md,,,,,,
Netwrix Identity Manager Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/identity-manager,docs/partner/sales/identity-manager.md,,,,,,
Netwrix Identity Threat Detection & Response Solution Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/identity-threat-detection-response,docs/partner/sales/identity-threat-detection-response.md,,,,,,
Sales Professional Certification Learning Paths,current,https://docs.netwrix.com/docs/partner/sales,docs/partner/sales/index.md,,,,,,
Netwrix Password Secure Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/password-secure,docs/partner/sales/password-secure.md,,,,,,
Netwrix PingCastle Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/pingcastle,docs/partner/sales/pingcastle.md,,,,,,
Netwrix Platform Governance for NetSuite Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/platform-governance-netsuite,docs/partner/sales/platform-governance-netsuite.md,,,,,,
Netwrix Platform Governance for Salesforce Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/platform-governance-salesforce,docs/partner/sales/platform-governance-salesforce.md,,,,,,
Netwrix PolicyPak Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/policypak,docs/partner/sales/policypak.md,,,,,,
Netwrix Privileged Access Management Solution Sales Professional,current,https://docs.netwrix.com/docs/partner/sales/privileged-access-management,docs/partner/sales/privileged-access-management.md,,,,,,
