document_title,version,live_page_url,source_path,also_covers,reviewer,audited,fixed,corrections,notes
Applications,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/applications.md,,,,,,
Configuration of SAML,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications/configuration_of_saml,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/configuration_of_saml.md,,,,,,
Example Applications,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications/exampleapplications/example_applications,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/exampleapplications/example_applications.md,,,,,,
SAML Application for Dropbox,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications/exampleapplications/saml_application_for_dropbox,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/exampleapplications/saml_application_for_dropbox.md,,,,,,
SAML application for Postman,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications/exampleapplications/saml_application_for_postman,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/exampleapplications/saml_application_for_postman.md,,,,,,
SAP GUI logon - SSO Application,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications/exampleapplications/sap_gui_logon_-_sso_application,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/exampleapplications/sap_gui_logon_-_sso_application.md,,,,,,
Learning the applications,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications/learningtheapplications/learning_the_applications,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/learningtheapplications/learning_the_applications.md,,,,,,
Start Parameter,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications/learningtheapplications/start_parameter,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/learningtheapplications/start_parameter.md,,,,,,
RDP and SSH Applications,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications/rdpandsshapplications/rdp_and_ssh_applications,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/rdpandsshapplications/rdp_and_ssh_applications.md,,,,,,
Recording a session,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/applications/rdpandsshapplications/recording_a_session,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/applications/rdpandsshapplications/recording_a_session.md,,,,,,
Client Module,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/client_module,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/client_module.md,,,,,,
Configuration,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/discoveryservice/configuration_1,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/discoveryservice/configuration_1.md,,,,,,
Converting entries,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/discoveryservice/converting_entries,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/discoveryservice/converting_entries.md,,,,,,
Created passwords,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/discoveryservice/created_passwords,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/discoveryservice/created_passwords.md,,,,,,
Deleting entries,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/discoveryservice/deleting_entries,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/discoveryservice/deleting_entries.md,,,,,,
Discovered entries,9.2,https://docs.netwrix.com/docs/passwordsecure/9_2/configuration/advancedview/clientmodule/discoveryservice/discovered_entries,docs/passwordsecure/9.2/configuration/advancedview/clientmodule/discoveryservice/discovered_entries.md,,,,,,
