document_title,version,live_page_url,source_path,duplicates,reviewer,audited,accurate,complete,notes
Clearing a Control Incident,current,https://docs.netwrix.com/docs/platgovnetsuite/agent/agent_clear_incident,docs/platgovnetsuite/agent/agent_clear_incident.md,,,,,,
Creating an Agent Preapproved Change Request,current,https://docs.netwrix.com/docs/platgovnetsuite/agent/agent_creating_preapproved_change_request,docs/platgovnetsuite/agent/agent_creating_preapproved_change_request.md,,,,,,
Example: Set an Agent Control,current,https://docs.netwrix.com/docs/platgovnetsuite/agent/agent_example_set_control,docs/platgovnetsuite/agent/agent_example_set_control.md,,,,,,
Example: Unresolved Control Incident,current,https://docs.netwrix.com/docs/platgovnetsuite/agent/agent_example_unresolved_control_incident,docs/platgovnetsuite/agent/agent_example_unresolved_control_incident.md,,,,,,
Getting Started with Agent,current,https://docs.netwrix.com/docs/platgovnetsuite/agent/agent_getting_started,docs/platgovnetsuite/agent/agent_getting_started.md,,,,,,
Using Agent Lookback,current,https://docs.netwrix.com/docs/platgovnetsuite/agent/agent_lookback,docs/platgovnetsuite/agent/agent_lookback.md,,,,,,
Agent Overview,current,https://docs.netwrix.com/docs/platgovnetsuite/agent/agent_overview,docs/platgovnetsuite/agent/agent_overview.md,,,,,,
Records Supported by Agent Searches and Controls,current,https://docs.netwrix.com/docs/platgovnetsuite/agent/agent_supported_records,docs/platgovnetsuite/agent/agent_supported_records.md,,,,,,
Netwrix Strongpoint for Netsuite 7.0 Release Notes,current,https://docs.netwrix.com/docs/platgovnetsuite/archive/netwrix_strongpoint_netsuite_7-0_release_notes,docs/platgovnetsuite/archive/netwrix_strongpoint_netsuite_7-0_release_notes.md,,,,,,
Netwrix Strongpoint for Netsuite 7.1 Release Notes,current,https://docs.netwrix.com/docs/platgovnetsuite/archive/netwrix_strongpoint_netsuite_7-1_release_notes,docs/platgovnetsuite/archive/netwrix_strongpoint_netsuite_7-1_release_notes.md,,,,,,
Core 7.2,current,https://docs.netwrix.com/docs/platgovnetsuite/archive/netwrix_strongpoint_netsuite_7-2_release_notes,docs/platgovnetsuite/archive/netwrix_strongpoint_netsuite_7-2_release_notes.md,,,,,,
Core 7.3.2,current,https://docs.netwrix.com/docs/platgovnetsuite/archive/netwrix_strongpoint_netsuite_7-3_release_notes,docs/platgovnetsuite/archive/netwrix_strongpoint_netsuite_7-3_release_notes.md,,,,,,
Automated Search Clean Up Considerations,current,https://docs.netwrix.com/docs/platgovnetsuite/automatedsearchcleanup/automated_search_cleanup_considerations,docs/platgovnetsuite/automatedsearchcleanup/automated_search_cleanup_considerations.md,,,,,,
Automated Search Clean Up,current,https://docs.netwrix.com/docs/platgovnetsuite/automatedsearchcleanup/automated_search_cleanup,docs/platgovnetsuite/automatedsearchcleanup/automated_search_cleanup.md,,,,,,
Bundle Removal Overview,current,https://docs.netwrix.com/docs/platgovnetsuite/bundleremoval/bundle_removal_overview,docs/platgovnetsuite/bundleremoval/bundle_removal_overview.md,,,,,,
Categorizing Customizations,current,https://docs.netwrix.com/docs/platgovnetsuite/bundleremoval/categorizing_customizations,docs/platgovnetsuite/bundleremoval/categorizing_customizations.md,,,,,,
Creating a Custom List and Fields,current,https://docs.netwrix.com/docs/platgovnetsuite/bundleremoval/creating_custom_list_and_fields,docs/platgovnetsuite/bundleremoval/creating_custom_list_and_fields.md,,,,,,
Creating Four Mass Updates,current,https://docs.netwrix.com/docs/platgovnetsuite/bundleremoval/creating_four_mass_updates,docs/platgovnetsuite/bundleremoval/creating_four_mass_updates.md,,,,,,
Creating Two Mass Updates,current,https://docs.netwrix.com/docs/platgovnetsuite/bundleremoval/creating_two_mass_updates,docs/platgovnetsuite/bundleremoval/creating_two_mass_updates.md,,,,,,
Exporting Information to Excel,current,https://docs.netwrix.com/docs/platgovnetsuite/bundleremoval/exporting_information_to_excel,docs/platgovnetsuite/bundleremoval/exporting_information_to_excel.md,,,,,,
Final Tasks,current,https://docs.netwrix.com/docs/platgovnetsuite/bundleremoval/final_tasks,docs/platgovnetsuite/bundleremoval/final_tasks.md,,,,,,
Investigating Through Saved Searches,current,https://docs.netwrix.com/docs/platgovnetsuite/bundleremoval/investigating_through_saved_searches,docs/platgovnetsuite/bundleremoval/investigating_through_saved_searches.md,,,,,,
Change Management Reports,current,https://docs.netwrix.com/docs/platgovnetsuite/change_management_reports,docs/platgovnetsuite/change_management_reports.md,,,,,,
Approving a Change Request,current,https://docs.netwrix.com/docs/platgovnetsuite/changemanagement/approving_change_request,docs/platgovnetsuite/changemanagement/approving_change_request.md,,,,,,
Approving Policy Changes,current,https://docs.netwrix.com/docs/platgovnetsuite/changemanagement/approving_policy_changes,docs/platgovnetsuite/changemanagement/approving_policy_changes.md,,,,,,
Change and Approval Policy,current,https://docs.netwrix.com/docs/platgovnetsuite/changemanagement/change_and_approval_policy,docs/platgovnetsuite/changemanagement/change_and_approval_policy.md,,,,,,
Change Management Overview,current,https://docs.netwrix.com/docs/platgovnetsuite/changemanagement/change_management_overview,docs/platgovnetsuite/changemanagement/change_management_overview.md,,,,,,
