document_title,version,live_page_url,source_path,duplicates,reviewer,audited,accurate,complete,notes
Configuring your Account,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/gettingstarted/configuring_account,docs/platgovnetsuiteflashlight/gettingstarted/configuring_account.md,,,,,,
Dashboard,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/gettingstarted/dashboard,docs/platgovnetsuiteflashlight/gettingstarted/dashboard.md,,,,,,
Documenting your Account,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/gettingstarted/documenting_account,docs/platgovnetsuiteflashlight/gettingstarted/documenting_account.md,,,,,,
Installing the Flashlight Bundle,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/gettingstarted/install_flashlight,docs/platgovnetsuiteflashlight/gettingstarted/install_flashlight.md,,,,,,
Setting up a Licensed User,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/gettingstarted/setting_up_licensed_user,docs/platgovnetsuiteflashlight/gettingstarted/setting_up_licensed_user.md,,,,,,
How To Videos,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/gettingstarted/tutorial_videos,docs/platgovnetsuiteflashlight/gettingstarted/tutorial_videos.md,,,,,,
Uninstalling Flashlight,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/gettingstarted/uninstalling_flashlight,docs/platgovnetsuiteflashlight/gettingstarted/uninstalling_flashlight.md,,,,,,
What Does Flashlight Document?,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/gettingstarted/what_does_flashlight_document,docs/platgovnetsuiteflashlight/gettingstarted/what_does_flashlight_document.md,,,,,,
Welcome,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight,docs/platgovnetsuiteflashlight/index.md,,,,,,
List Segments Field Cannot be Edited,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/troubleshooting/list_segments_not_editable,docs/platgovnetsuiteflashlight/troubleshooting/list_segments_not_editable.md,,,,,,
Report a Bug,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/troubleshooting/report_a_bug,docs/platgovnetsuiteflashlight/troubleshooting/report_a_bug.md,,,,,,
Spider Page Not Found,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/troubleshooting/spider_page_not_found,docs/platgovnetsuiteflashlight/troubleshooting/spider_page_not_found.md,,,,,,
Spider Spins and Does Not Finish,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/troubleshooting/spider_spins,docs/platgovnetsuiteflashlight/troubleshooting/spider_spins.md,,,,,,
Stop Scripts,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/troubleshooting/stop_scripts,docs/platgovnetsuiteflashlight/troubleshooting/stop_scripts.md,,,,,,
System Maintenance Period Error,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/troubleshooting/system_maintenance_period_error,docs/platgovnetsuiteflashlight/troubleshooting/system_maintenance_period_error.md,,,,,,
Customization Reports,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/usingflashlight/customization_reports,docs/platgovnetsuiteflashlight/usingflashlight/customization_reports.md,,,,,,
Using the Strongpoint SQL Library,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/usingflashlight/sql_library,docs/platgovnetsuiteflashlight/usingflashlight/sql_library.md,,,,,,
Using Standard Field Impact Analysis,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/usingflashlight/standard_field_impact_analysis,docs/platgovnetsuiteflashlight/usingflashlight/standard_field_impact_analysis.md,,,,,,
Understanding the Customization Record,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/usingflashlight/understanding_customization_record,docs/platgovnetsuiteflashlight/usingflashlight/understanding_customization_record.md,,,,,,
User Management Reports,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/usingflashlight/user_mgmt_reports,docs/platgovnetsuiteflashlight/usingflashlight/user_mgmt_reports.md,,,,,,
Using Customization Impact Analysis,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/usingflashlight/using_customization_impact_analysis,docs/platgovnetsuiteflashlight/usingflashlight/using_customization_impact_analysis.md,,,,,,
Using the ERD,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/usingflashlight/using_erd,docs/platgovnetsuiteflashlight/usingflashlight/using_erd.md,,,,,,
Using the Spider,current,https://docs.netwrix.com/docs/platgovnetsuiteflashlight/usingflashlight/using_spider,docs/platgovnetsuiteflashlight/usingflashlight/using_spider.md,,,,,,
