document_title,version,live_page_url,source_path,duplicates,reviewer,audited,fixed,notes
Approving a Change Request,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/approving_change_request,docs/platgovsalesforce/changemanagement/approving_change_request.md,,,,,
Change and Approval Policy,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/change_and_approval_policy,docs/platgovsalesforce/changemanagement/change_and_approval_policy.md,,,,,
Change Log for ReportFolder and DashboardFolder,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/change_log_reportfolder_dashboardfolder,docs/platgovsalesforce/changemanagement/change_log_reportfolder_dashboardfolder.md,,,,,
Change Management Overview,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/change_management_overview,docs/platgovsalesforce/changemanagement/change_management_overview.md,,,,,
Change Enablement Reports,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/change_management_reports,docs/platgovsalesforce/changemanagement/change_management_reports.md,,,,,
Completing and Validating a Change Request,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/completing_change_request,docs/platgovsalesforce/changemanagement/completing_change_request.md,,,,,
Creating a Change Request,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/creating_change_request,docs/platgovsalesforce/changemanagement/creating_change_request.md,,,,,
Data Tracking - Change Logs,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/datatracking/data_tracking_change_logs,docs/platgovsalesforce/changemanagement/datatracking/data_tracking_change_logs.md,,,,,
Data Tracking - Troubleshooting,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/datatracking/data_tracking_troubleshooting,docs/platgovsalesforce/changemanagement/datatracking/data_tracking_troubleshooting.md,,,,,
Data Tracking,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/datatracking/enhanced_cpq_support,docs/platgovsalesforce/changemanagement/datatracking/enhanced_cpq_support.md,,,,,
Non-Triggerable Objects,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/datatracking/non_triggerable_objects,docs/platgovsalesforce/changemanagement/datatracking/non_triggerable_objects.md,,,,,
Set Up Data Tracking,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/datatracking/set_up_data_tracking,docs/platgovsalesforce/changemanagement/datatracking/set_up_data_tracking.md,,,,,
Documented Metadata Types,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/documented_metadata_types,docs/platgovsalesforce/changemanagement/documented_metadata_types.md,,,,,
Resolving Non-Compliant Changes,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/resolving_noncompliant_changes,docs/platgovsalesforce/changemanagement/resolving_noncompliant_changes.md,,,,,
Set Up Policies,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/setting_up_policies,docs/platgovsalesforce/changemanagement/setting_up_policies.md,,,,,
Using Change Logs,current,https://docs.netwrix.com/docs/platgovsalesforce/changemanagement/using_change_logs,docs/platgovsalesforce/changemanagement/using_change_logs.md,,,,,
Cleaning Up Customizations,current,https://docs.netwrix.com/docs/platgovsalesforce/cleanup/cleanup_customizations,docs/platgovsalesforce/cleanup/cleanup_customizations.md,,,,,
Clean Up Overview,current,https://docs.netwrix.com/docs/platgovsalesforce/cleanup/cleanup_overview,docs/platgovsalesforce/cleanup/cleanup_overview.md,,,,,
Running Clean Up Reports,current,https://docs.netwrix.com/docs/platgovsalesforce/cleanup/cleanup_reports,docs/platgovsalesforce/cleanup/cleanup_reports.md,,,,,
Date Last Used,current,https://docs.netwrix.com/docs/platgovsalesforce/cleanup/date_last_used,docs/platgovsalesforce/cleanup/date_last_used.md,,,,,
Customizations Overview,current,https://docs.netwrix.com/docs/platgovsalesforce/customizations/customizations_overview,docs/platgovsalesforce/customizations/customizations_overview.md,,,,,
Report and Dashboard Folder Customization,current,https://docs.netwrix.com/docs/platgovsalesforce/customizations/folder_customization_record,docs/platgovsalesforce/customizations/folder_customization_record.md,,,,,
Old Customization Record,current,https://docs.netwrix.com/docs/platgovsalesforce/customizations/old_customization_record,docs/platgovsalesforce/customizations/old_customization_record.md,,,,,
Understanding the Customization Record,current,https://docs.netwrix.com/docs/platgovsalesforce/customizations/understanding_customization_record,docs/platgovsalesforce/customizations/understanding_customization_record.md,,,,,
FAQ,current,https://docs.netwrix.com/docs/platgovsalesforce/faq,docs/platgovsalesforce/faq.md,,,,,
Welcome,current,https://docs.netwrix.com/docs/platgovsalesforce,docs/platgovsalesforce/index.md,,,,,
Configuration and Stats,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/config_and_stats,docs/platgovsalesforce/installingstrongpoint/config_and_stats.md,,,,,
Features by License Type,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/features_by_license_type,docs/platgovsalesforce/installingstrongpoint/features_by_license_type.md,,,,,
Install Platform Governance for Salesforce,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/installing_strongpoint,docs/platgovsalesforce/installingstrongpoint/installing_strongpoint.md,,,,,
Upgrade / Downgrade License,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/license_manager,docs/platgovsalesforce/installingstrongpoint/license_manager.md,,,,,
Named Credential Setup,current,https://docs.netwrix.com/docs/platgovsalesforce/installingstrongpoint/named_credential,docs/platgovsalesforce/installingstrongpoint/named_credential.md,,,,,
