document_title,version,live_page_url,source_path,also_covers,reviewer,audited,fixed,corrections,notes
Cleaning Up Customizations,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/cleanup/cleanup_customizations,docs/platgovsalesforceflashlight/cleanup/cleanup_customizations.md,,,,,,
Clean Up Overview,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/cleanup/cleanup_overview,docs/platgovsalesforceflashlight/cleanup/cleanup_overview.md,,,,,,
Running Clean Up Reports,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/cleanup/cleanup_reports,docs/platgovsalesforceflashlight/cleanup/cleanup_reports.md,,,,,,
Date Last Used,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/cleanup/date_last_used,docs/platgovsalesforceflashlight/cleanup/date_last_used.md,,,,,,
Documented Metadata Types,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/cleanup/documented_metadata_types,docs/platgovsalesforceflashlight/cleanup/documented_metadata_types.md,,,,,,
Viewing the Status Report,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/config_and_stats,docs/platgovsalesforceflashlight/gettingstarted/config_and_stats.md,,,,,,
Customizations Overview and Reports,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/customizations_overview,docs/platgovsalesforceflashlight/gettingstarted/customizations_overview.md,,,,,,
Using the Dashboard,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/dashboard,docs/platgovsalesforceflashlight/gettingstarted/dashboard.md,,,,,,
Getting Started Overview,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/getting_started_overview,docs/platgovsalesforceflashlight/gettingstarted/getting_started_overview.md,,,,,,
Installing Flashlight by Strongpoint,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/installing_flashlight,docs/platgovsalesforceflashlight/gettingstarted/installing_flashlight.md,,,,,,
Viewing the Platform Governor Status,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/platform_governor,docs/platgovsalesforceflashlight/gettingstarted/platform_governor.md,,,,,,
Running the Scheduler,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/scheduler,docs/platgovsalesforceflashlight/gettingstarted/scheduler.md,,,,,,
Understanding the Customization Record,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/understanding_customization_record,docs/platgovsalesforceflashlight/gettingstarted/understanding_customization_record.md,,,,,,
Uninstalling Flashlight,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/uninstalling_flashlight,docs/platgovsalesforceflashlight/gettingstarted/uninstalling_flashlight.md,,,,,,
Using the Getting Started Wizard,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/gettingstarted/using_getting_started_wizard,docs/platgovsalesforceflashlight/gettingstarted/using_getting_started_wizard.md,,,,,,
Welcome,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight,docs/platgovsalesforceflashlight/index.md,,,,,,
Export Object Attachment Records,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/export_object_attachment_records,docs/platgovsalesforceflashlight/tools/export_object_attachment_records.md,,,,,,
Export Objects,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/export_objects,docs/platgovsalesforceflashlight/tools/export_objects.md,,,,,,
Export Profiles and Permission Sets,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/export_profiles,docs/platgovsalesforceflashlight/tools/export_profiles.md,,,,,,
Export Users,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/export_users,docs/platgovsalesforceflashlight/tools/export_users.md,,,,,,
Using the Finder,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/finder,docs/platgovsalesforceflashlight/tools/finder.md,,,,,,
Accessing Reports,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/reports_overview,docs/platgovsalesforceflashlight/tools/reports_overview.md,,,,,,
Running the Scanner,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/running_scanner,docs/platgovsalesforceflashlight/tools/running_scanner.md,,,,,,
Using Flashlight Overview,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/tools_overview,docs/platgovsalesforceflashlight/tools/tools_overview.md,,,,,,
Validating the Data,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/validating_data,docs/platgovsalesforceflashlight/tools/validating_data.md,,,,,,
Dependency Relationship Diagram,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/tools/viewing_drd,docs/platgovsalesforceflashlight/tools/viewing_drd.md,,,,,,
What Does Flashlight Document?,current,https://docs.netwrix.com/docs/platgovsalesforceflashlight/what_flashlight_documents,docs/platgovsalesforceflashlight/what_flashlight_documents.md,,,,,,
