document_title,version,live_page_url,source_path,duplicates,reviewer,audited,accurate,complete,notes
Access Certification Page,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/AuditReporting/accesscertification,docs/privilegesecure/25.12/admin/AuditReporting/accesscertification/accesscertification.md,,,,,,
Add Access Certification Task,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/AuditReporting/accesscertification/accesscertificationtask,docs/privilegesecure/25.12/admin/AuditReporting/accesscertification/accesscertificationtask.md,,,,,,
Users Tab for Access Certification,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/AuditReporting/accesscertification/users,docs/privilegesecure/25.12/admin/AuditReporting/accesscertification/users.md,,,,,,
Activity Log Page,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/AuditReporting/activitylog,docs/privilegesecure/25.12/admin/AuditReporting/activitylog.md,,,,,,
DB Change History Page,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/AuditReporting/dbchangehistory,docs/privilegesecure/25.12/admin/AuditReporting/dbchangehistory.md,,,,,,
Events Page,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/AuditReporting/events,docs/privilegesecure/25.12/admin/AuditReporting/events.md,,,,,,
Log File Options Pages,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/AuditReporting/logfiles/logfileoptions,docs/privilegesecure/25.12/admin/AuditReporting/logfiles/logfileoptions.md,,,,,,
Log Files Page,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/AuditReporting/logfiles,docs/privilegesecure/25.12/admin/AuditReporting/logfiles/logfiles.md,,,,,,
Reporting,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/AuditReporting/reporting,docs/privilegesecure/25.12/admin/AuditReporting/reporting.md,,,,,,
Authentication Page,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/configuration/authentication,docs/privilegesecure/25.12/admin/configuration/authentication/authentication.md,,,,,,
Bring Your Own Vault (BYOV) Connector Configuration,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/configuration/integrationconnector/integrationbyov/byovconnectorconfig,docs/privilegesecure/25.12/admin/configuration/integrationconnector/integrationbyov/byovconnectorconfig.md,,,,,,
Integration Connectors Page,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/configuration/integrationconnector/integrationconnectors,docs/privilegesecure/25.12/admin/configuration/integrationconnector/integrationconnectors.md,,,,,,
Password Secure Integration,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/configuration/integrationconnector/integrationpasswordsecure,docs/privilegesecure/25.12/admin/configuration/integrationconnector/integrationpasswordsecure.md,,,,,,
Configuration Interface,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/configuration/interface_1,docs/privilegesecure/25.12/admin/configuration/interface_1.md,,,,,,
Microsoft Entra ID App Registration,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/configuration/serviceaccounts/entraidappregistration,docs/privilegesecure/25.12/admin/configuration/serviceaccounts/entraidappregistration.md,,,,,,
Service Accounts Page,25.12,https://docs.netwrix.com/docs/privilegesecure/25_12/admin/configuration/serviceaccounts,docs/privilegesecure/25.12/admin/configuration/serviceaccounts/serviceaccounts.md,,,,,,
