document_title,version,live_page_url,source_path,duplicates,reviewer,audited,fixed,notes
Account Inventory Colors,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/accountinventorycolors,docs/privilegesecurediscovery/2.22/administration/configuration/accountinventorycolors.md,,,,,
Add a Domain,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/addadomain,docs/privilegesecurediscovery/2.22/administration/configuration/addadomain.md,,,,,
Add a Certificate Authority to the Ubuntu Trusted Authorities Repository,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/addcertificateauthority,docs/privilegesecurediscovery/2.22/administration/configuration/addcertificateauthority.md,,,,,
AD Failover,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/adfailover,docs/privilegesecurediscovery/2.22/administration/configuration/adfailover.md,,,,,
Apply a Service Account from an existing AD group Directly to a Machine,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/applyserviceaccount,docs/privilegesecurediscovery/2.22/administration/configuration/applyserviceaccount.md,,,,,
Azure SSO,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/azuresso,docs/privilegesecurediscovery/2.22/administration/configuration/azuresso.md,,,,,
Certificate (SSL) Files,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/certificatesslfiles,docs/privilegesecurediscovery/2.22/administration/configuration/certificatesslfiles.md,,,,,
Change Privilege Secure Passwords (SSH and UI),2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/changepasswords,docs/privilegesecurediscovery/2.22/administration/configuration/changepasswords.md,,,,,
Configure ADFS (Active Directory Federation Services) SSO,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/configureadfs,docs/privilegesecurediscovery/2.22/administration/configuration/configureadfs.md,,,,,
SSO: Duo Access Gateway (DAG),2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/duoaccessgateway,docs/privilegesecurediscovery/2.22/administration/configuration/duoaccessgateway.md,,,,,
Duo Hosted SSO,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/duohostedsso,docs/privilegesecurediscovery/2.22/administration/configuration/duohostedsso.md,,,,,
GPOs,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/gpos,docs/privilegesecurediscovery/2.22/administration/configuration/gpos.md,,,,,
Change the Default/Maximum JITA Session Duration,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/jitasessionduration,docs/privilegesecurediscovery/2.22/administration/configuration/jitasessionduration.md,,,,,
Privilege Secure and Linux,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/linux,docs/privilegesecurediscovery/2.22/administration/configuration/linux.md,,,,,
Using Privilege Secure with Lin,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/linuxandad,docs/privilegesecurediscovery/2.22/administration/configuration/linuxandad.md,,,,,
Linux Simplified - 2.18+,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/linuxsimplified2.18%2B,docs/privilegesecurediscovery/2.22/administration/configuration/linuxsimplified2.18+.md,,,,,
Log Changes 2.20+,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/logchanges2.20,docs/privilegesecurediscovery/2.22/administration/configuration/logchanges2.20.md,,,,,
OAM Password Configuration,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/oampasswordconfig,docs/privilegesecurediscovery/2.22/administration/configuration/oampasswordconfig.md,,,,,
Okta SSO and MFA Integration,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/oktaintegration,docs/privilegesecurediscovery/2.22/administration/configuration/oktaintegration.md,,,,,
RADIUS,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/radius,docs/privilegesecurediscovery/2.22/administration/configuration/radius.md,,,,,
Remove Persistence on Machines,2.22,https://docs.netwrix.com/docs/privilegesecurediscovery/2_22/administration/configuration/removepersistence,docs/privilegesecurediscovery/2.22/administration/configuration/removepersistence.md,,,,,
