document_title,version,live_page_url,source_path,also_covers,reviewer,audited,fixed,corrections,notes
Active Directory Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/activedirectory/overview,docs/recoveryforactivedirectory/2.6/admin/activedirectory/overview.md,,,,,,
Recover Objects,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/activedirectory/recover,docs/recoveryforactivedirectory/2.6/admin/activedirectory/recover.md,,,,,,
Rollback Objects,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/activedirectory/rollback,docs/recoveryforactivedirectory/2.6/admin/activedirectory/rollback.md,,,,,,
Audit Logs Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/audit,docs/recoveryforactivedirectory/2.6/admin/audit.md,,,,,,
Data Retention Policy Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/configuration/dataretention,docs/recoveryforactivedirectory/2.6/admin/configuration/dataretention.md,,,,,,
Domains Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/configuration/domain,docs/recoveryforactivedirectory/2.6/admin/configuration/domain.md,,,,,,
Netwrix Integrations Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/configuration/integration,docs/recoveryforactivedirectory/2.6/admin/configuration/integration.md,,,,,,
Licensing Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/configuration/licensing,docs/recoveryforactivedirectory/2.6/admin/configuration/licensing.md,,,,,,
Notifications Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/configuration/notifications,docs/recoveryforactivedirectory/2.6/admin/configuration/notifications.md,,,,,,
Configuration Interface,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/configuration/overview,docs/recoveryforactivedirectory/2.6/admin/configuration/overview.md,,,,,,
Users and Roles Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/configuration/roles,docs/recoveryforactivedirectory/2.6/admin/configuration/roles.md,,,,,,
Configure Multi-Factor Authentication,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/configuremfa,docs/recoveryforactivedirectory/2.6/admin/configuremfa.md,,,,,,
Domain Backup Configuration Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/domainbackupconfig,docs/recoveryforactivedirectory/2.6/admin/domainbackupconfig.md,,,,,,
Forest Page,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/forest,docs/recoveryforactivedirectory/2.6/admin/forest/forest.md,,,,,,
Recover a Forest,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/forest/recover,docs/recoveryforactivedirectory/2.6/admin/forest/recover.md,,,,,,
Navigate the Console,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/navigation,docs/recoveryforactivedirectory/2.6/admin/navigation.md,,,,,,
Administration,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/admin/overview,docs/recoveryforactivedirectory/2.6/admin/overview.md,,,,,,
Getting Started,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/gettingstarted,docs/recoveryforactivedirectory/2.6/gettingstarted.md,,,,,,
Netwrix Recovery for Active Directory v2.6,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6,docs/recoveryforactivedirectory/2.6/index.md,,,,,,
Install the Application,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/install/application,docs/recoveryforactivedirectory/2.6/install/application.md,,,,,,
Configuration Utility,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/install/configurationutility,docs/recoveryforactivedirectory/2.6/install/configurationutility.md,,,,,,
First Launch,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/install/firstlaunch,docs/recoveryforactivedirectory/2.6/install/firstlaunch.md,,,,,,
Install the RSAT Extension,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/install/installation,docs/recoveryforactivedirectory/2.6/install/installation.md,,,,,,
Log into the Recovery Console,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/install/login,docs/recoveryforactivedirectory/2.6/install/login.md,,,,,,
Installation,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/install/overview,docs/recoveryforactivedirectory/2.6/install/overview.md,,,,,,
Upgrade Procedure,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/install/upgrade,docs/recoveryforactivedirectory/2.6/install/upgrade.md,,,,,,
Firewall Rules for Forest Server Backups,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/requirements/firewallrules,docs/recoveryforactivedirectory/2.6/requirements/firewallrules.md,,,,,,
Requirements,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/requirements/overview,docs/recoveryforactivedirectory/2.6/requirements/overview.md,,,,,,
RSAT Extension Requirements,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/requirements/rsatextension,docs/recoveryforactivedirectory/2.6/requirements/rsatextension.md,,,,,,
Application Server Requirements,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/requirements/server,docs/recoveryforactivedirectory/2.6/requirements/server.md,,,,,,
SQL Server Requirements,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/requirements/sqlserver,docs/recoveryforactivedirectory/2.6/requirements/sqlserver.md,,,,,,
Target Domains,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/requirements/targetdomain,docs/recoveryforactivedirectory/2.6/requirements/targetdomain.md,,,,,,
Target Server Considerations,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/requirements/targetserver,docs/recoveryforactivedirectory/2.6/requirements/targetserver.md,,,,,,
RSAT Extension,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/rsatextension/overview,docs/recoveryforactivedirectory/2.6/rsatextension/overview.md,,,,,,
Restore an Object,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/rsatextension/recovery,docs/recoveryforactivedirectory/2.6/rsatextension/recovery.md,,,,,,
Object Rollback,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/rsatextension/rollback,docs/recoveryforactivedirectory/2.6/rsatextension/rollback.md,,,,,,
Update Account Passwords,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/troubleshooting/credentialpasswords,docs/recoveryforactivedirectory/2.6/troubleshooting/credentialpasswords/credentialpasswords.md,,,,,,
Update Domain Controller Backup Account Password,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/troubleshooting/credentialpasswords/serverbackupaccount,docs/recoveryforactivedirectory/2.6/troubleshooting/credentialpasswords/serverbackupaccount.md,,,,,,
Update SQL Server Service Account Password,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/troubleshooting/credentialpasswords/sqlserverserviceaccount,docs/recoveryforactivedirectory/2.6/troubleshooting/credentialpasswords/sqlserverserviceaccount.md,,,,,,
Troubleshooting,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/troubleshooting,docs/recoveryforactivedirectory/2.6/troubleshooting/troubleshooting.md,,,,,,
Use Cases,2.6,https://docs.netwrix.com/docs/recoveryforactivedirectory/2_6/usecases,docs/recoveryforactivedirectory/2.6/usecases.md,,,,,,
