document_title,version,live_page_url,source_path,duplicates,reviewer,audited,fixed,notes
Upgrade ADMonitor,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/agents/agent-management/upgradeadmonitor,docs/threatprevention/7.5/admin/agents/agent-management/upgradeadmonitor.md,,,,,
Agent Installer Update Window,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/agents/agents-windows/agentinstallerupdate,docs/threatprevention/7.5/admin/agents/agents-windows/agentinstallerupdate.md,,,,,
Collection Manager Window,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/configuration/collectionmanager/overview,docs/threatprevention/7.5/admin/configuration/collectionmanager/overview.md,,,,,
EPE Settings Window,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/configuration/epesettings,docs/threatprevention/7.5/admin/configuration/epesettings.md,,,,,
Event Filtering Configuration Window,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/configuration/eventfilteringconfiguration,docs/threatprevention/7.5/admin/configuration/eventfilteringconfiguration.md,,,,,
Investigate Data Grid,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/investigate/datagrid,docs/threatprevention/7.5/admin/investigate/datagrid.md,,,,,
License Manager Window,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/navigation/licensemanager,docs/threatprevention/7.5/admin/navigation/licensemanager.md,,,,,
.NET Script Actions,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/policies/configuration/actions/netscript,docs/threatprevention/7.5/admin/policies/configuration/actions/netscript.md,,,,,
LSASS Guardian – Monitor,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/policies/configuration/eventtype/lsassguardianmonitor,docs/threatprevention/7.5/admin/policies/configuration/eventtype/lsassguardianmonitor.md,,,,,
LSASS Guardian – Protect,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/policies/configuration/eventtype/lsassguardianprotect,docs/threatprevention/7.5/admin/policies/configuration/eventtype/lsassguardianprotect.md,,,,,
Event Type Tab,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/policies/configuration/eventtype/overview,docs/threatprevention/7.5/admin/policies/configuration/eventtype/overview.md,,,,,
Monitor Weak Passwords Use Case,7.5,https://docs.netwrix.com/docs/threatprevention/7_5/admin/policies/configuration/eventtype/passwordenforcement/monitorweakpasswords,docs/threatprevention/7.5/admin/policies/configuration/eventtype/passwordenforcement/monitorweakpasswords.md,,,,,
